Page,title,topic,isbn,pages,year,online_access,format,editorial,ebook-price,hardcover-price,softcover-price,print-price,print-ebook-price,authors
33,Patterns in the Machine,Professional Computing,978-1-4842-6439-3,"XIX, 293",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Taylor, J. T., Taylor, W. T. (2021)"
33,Building Better Interfaces for Remote Autonomous Systems,User Interfaces and Human Computer Interaction,978-3-030-47774-5,"XII, 127",2021,0,5,Springer International Publishing,,NA,24.99,NA,NA,"Oury, J. D., Ritter, F. E. (2021)"
33,"Mobile, Secure, and Programmable Networking",Computer Communication Networks,978-3-030-67549-3,"X, 251",2021,0,5,Springer International Publishing,54.99,NA,69.99,NA,NA,"Bouzefrane, S. (Ed), Laurent, M. (Ed), Boumerdassi, S. (Ed), Renault, E. (Ed) (2021)"
33,Multi-Agent-Based Simulation XXI,Artificial Intelligence,978-3-030-66887-7,"IX, 107",2021,0,5,Springer International Publishing,44.99,NA,59.99,NA,NA,"Swarup, S. (Ed), Savarimuthu, B. T. R. (Ed) (2021)"
33,Algebra and Geometry with Python,Mathematics of Computing,978-3-030-61540-6,"XVI, 425",2021,0,5,Springer International Publishing,84.99,109.99,NA,NA,NA,"Kurgalin, S., Borzunov, S. (2021)"
33,Computational Intelligence in Information Systems,Computational Intelligence,978-3-030-68132-6,"XV, 244",2021,0,5,Springer International Publishing,149.00,NA,199.99,NA,NA,"Suhaili, W. S. H. (Ed), Siau, N. Z. (Ed), Omar, S. (Ed), Phon-Amuaisuk, S. (Ed) (2021)"
33,Big Data Analytics for Cyber-Physical System in Smart City,Computational Intelligence,978-981-334-573-7,"XLII, 1830",2021,0,5,Springer Singapore,269.00,NA,349.99,NA,NA,"Atiquzzaman, M. (Ed), Yen, N. (Ed), Xu, Z. (Ed) (2021)"
33,Transactions on Large-Scale Data- and Knowledge-Centered Systems XLVII,Data Structures and Information Theory,978-3-662-62918-5,"XIII, 235",2021,0,5,Springer-Verlag Berlin Heidelberg,59.99,NA,79.99,NA,NA,"Hameurlain, A. (Ed), Tjoa, A. M. (Ed), Chbeir, R. (Ed) (2021)"
33,Software Engineering and Formal Methods. SEFM 2020 Collocated Workshops,Logics and Meanings of Programs,978-3-030-67219-5,"IX, 335",2021,0,5,Springer International Publishing,64.99,NA,84.99,NA,NA,"Cleophas, L. (Ed), Massink, M. (Ed) (2021)"
33,Pro Cryptography and Cryptanalysis with C++20,Professional Computing,978-1-4842-6585-7,"XVII, 469",2021,0,5,Apress,39.99,NA,49.99,NA,NA,"Mihailescu, M. I., Nita, S. L. (2021)"
33,Practical Aspects of Declarative Languages,Professional Computing,978-3-030-67437-3,"IX, 179",2021,0,5,Springer International Publishing,39.99,NA,49.99,NA,NA,"Morales, J. F. (Ed), Orchard, D. (Ed) (2021)"
34,Security of Ubiquitous Computing Systems,Systems and Data Security,978-3-030-10590-7,"XVIII, 265",2021,0,5,Springer International Publishing,,59.99,NA,NA,NA,"Avoine, G. (Ed), Hernandez-Castro, J. (Ed) (2021)"
34,Mining Data for Financial Applications,Artificial Intelligence,978-3-030-66980-5,"X, 151",2021,0,5,Springer International Publishing,39.99,NA,54.99,NA,NA,"Bitetta, V. (Ed), Bordino, I. (Ed), Ferretti, A. (Ed), Gullo, F. (Ed), Ponti, G. (Ed), Severini, L. (Ed) (2021)"
34,TensorFlow 2.x in the Colaboratory Cloud,Machine Learning,978-1-4842-6648-9,"XXIII, 264",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Paper, D. (2021)"
34,Recent Advances in Biological Network Analysis,Biomedical Engineering/Biotechnology,978-3-030-57172-6,"XII, 217",2021,0,5,Springer International Publishing,129.00,169.99,NA,NA,NA,"Yoon, B. (Ed), Qian, X. (Ed) (2021)"
34,Algorithms as a Basis of Modern Applied Mathematics,Computational Intelligence,978-3-030-61333-4,"XIII, 509",2021,0,5,Springer International Publishing,149.00,199.99,NA,NA,NA,"Hokov-Mayerov, . (Ed), Flaut, C. (Ed), Maturo, F. (Ed) (2021)"
34,Computational Methods for Deep Learning,"Computer Imaging, Vision, Pattern Recognition and Graphics",978-3-030-61080-7,"XVII, 134",2021,0,5,Springer International Publishing,59.99,74.99,NA,NA,NA,"Yan, W. Q. (2021)"
34,Hands-on Question Answering Systems with BERT,Machine Learning,978-1-4842-6663-2,"XV, 184",2021,0,5,Apress,24.99,NA,34.99,NA,NA,"Sabharwal, N., Agrawal, A. (2021)"
34,Head and Neck Tumor Segmentation,"Computer Imaging, Vision, Pattern Recognition and Graphics",978-3-030-67193-8,"X, 109",2021,0,5,Springer International Publishing,44.99,NA,59.99,NA,NA,"Andrearczyk, V. (Ed), Oreiller, V. (Ed), Depeursinge, A. (Ed) (2021)"
34,"Context-Aware Systems and Applications, and Nature of Computation and Communication",Computer Applications,978-3-030-67100-6,"XI, 339",2021,0,5,Springer International Publishing,69.99,NA,89.99,NA,NA,"Vinh, P. C. (Ed), Rakib, A. (Ed) (2021)"
34,Online Family Dispute Resolution,"Dispute Resolution, Mediation, Arbitration",978-3-030-64644-8,"XXI, 139",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"Wilson-Evered, E., Zeleznikow, J. (2021)"
34,Recent Innovations in Computing,Computational Intelligence,978-981-15-8296-7,"XX, 873",2021,0,5,Springer Singapore,219.00,279.99,NA,NA,NA,"Singh, P. K. (Ed), Singh, Y. (Ed), Kolekar, M. H. (Ed), Kar, A. K. (Ed), Chhabra, J. K. (Ed), Sen, A. (Ed) (2021)"
34,"Verification, Model Checking, and Abstract Interpretation",Theory of Computation,978-3-030-67066-5,"XV, 604",2021,0,5,Springer International Publishing,79.99,NA,99.99,NA,NA,"Henglein, F. (Ed), Shoham, S. (Ed), Vizel, Y. (Ed) (2021)"
34,The Science of Citizen Science,Communication Studies,978-3-030-58277-7,"VII, 529",2021,0,5,Springer International Publishing,,59.99,NA,NA,NA,"Vohland, K. (Ed), Land-zandstra, A. (Ed), Ceccaroni, L. (Ed), Lemmens, R. (Ed), Perell, J. (Ed), Ponti, M. (Ed), Samson, R. (Ed), Wagenknecht, K. (Ed) (2021)"
34,Multimedia Security,Computational Intelligence,978-981-15-8710-8,"XII, 302",2021,0,5,Springer Singapore,139.00,179.99,NA,NA,NA,"Giri, K. J. (Ed), Parah, S. A. (Ed), Bashir, R. (Ed), Muhammad, K. (Ed) (2021)"
34,Pipeline Real-time Data Integration and Pipeline Network Virtual Reality System,Fossil Fuels (incl. Carbon Capture),978-3-030-62109-4,"XIII, 88",2021,0,5,Springer International Publishing,44.99,NA,59.99,NA,NA,"Li, Z., Yang, L. (2021)"
34,Chinas e-Science Blue Book 2020,Engineering (general),978-981-15-8341-4,"VII, 522",2021,0,5,Springer Singapore,149.00,199.99,NA,NA,NA,"Chinese Academy of Sciences, () (Ed), Cyberspace Administration of China, () (Ed), Ministry of Education of the PRC, () (Ed), Ministry of Science and Technology of the PRC, () (Ed), China Association for Science and Technology, () (Ed), Chinese Academy of Social Sciences, () (Ed), National Natural Science Foundation of China, () (Ed), Chinese Academy of Agricultural Sciences, () (Ed) (2021)"
34,IoT Projects with Arduino Nano 33 BLE Sense,Hardware and Maker,978-1-4842-6457-7,"IX, 161",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Kurniawan, A. (2021)"
34,State Machines using VHDL,Circuits and Systems,978-3-030-61697-7,"XIII, 313",2021,0,5,Springer International Publishing,84.99,109.99,NA,NA,NA,"Gazi, O., Arl, A. (2021)"
34,Embedded Software Timing,Software Engineering / Programming and Operating Systems,978-3-030-64143-6,"XI, 305",2021,0,5,Springer International Publishing,79.99,99.99,NA,NA,NA,"Gliwa, P. (2021)"
34,High Performance Computing in Science and Engineering,Mathematics of Computing,978-3-030-67076-4,"IX, 163",2021,0,5,Springer International Publishing,44.99,NA,59.99,NA,NA,"Kozubek, T. (Ed), Arbenz, P. (Ed), Jaro, J. (Ed), ha, L. (Ed), stek, J. (Ed), Tich, P. (Ed) (2021)"
35,Microsoft Excel Functions Quick Reference,Microsoft and .NET,978-1-4842-6612-0,"XXIX, 255",2021,0,5,Apress,29.99,NA,37.99,NA,NA,"Mehta, M. (2021)"
35,5G Mobile Core Network,Computer Communication Networks,978-1-4842-6472-0,"XXI, 358",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Shetty, R. S. (2021)"
35,ASIC Design and Synthesis,Circuits and Systems,978-981-334-641-3,"XXI, 330",2021,0,5,Springer Singapore,149.00,199.99,NA,NA,NA,"Taraate, V. (2021)"
35,Coding Art,Graphic Design,978-1-4842-6263-4,"XV, 280",2021,0,5,Apress,24.99,NA,34.99,NA,NA,"Zhang, Y., Funk, M. (2021)"
35,Digital Transformation of Learning Organizations,"Administration, Organization and Leadership",978-3-030-55877-2,"XXI, 252",2021,0,5,Springer International Publishing,,59.99,NA,NA,NA,"Ifenthaler, D. (Ed), Hofhues, S. (Ed), Egloffstein, M. (Ed), Helbig, C. (Ed) (2021)"
35,Software Quality: Future Perspectives on Software Engineering Quality,Software Engineering / Programming and Operating Systems,978-3-030-65853-3,"XII, 159",2021,0,5,Springer International Publishing,44.99,NA,59.99,NA,NA,"Winkler, D. (Ed), Biffl, S. (Ed), Mendez, D. (Ed), Wimmer, M. (Ed), Bergsmann, J. (Ed) (2021)"
35,Lean and Agile Software Development,Software Engineering / Programming and Operating Systems,978-3-030-67083-2,"XII, 201",2021,0,5,Springer International Publishing,54.99,NA,69.99,NA,NA,"Przybyek, A. (Ed), Miler, J. (Ed), Poth, A. (Ed), Riel, A. (Ed) (2021)"
35,GDPR and Biobanking,European Law,978-3-030-49387-5,"VII, 434",2021,0,5,Springer International Publishing,,59.99,NA,NA,NA,"Slokenberga, S. (Ed), Tzortzatou, O. (Ed), Reichel, J. (Ed) (2021)"
35,Practical Linux with Raspberry Pi OS,Hardware and Maker,978-1-4842-6509-3,"XVIII, 158",2021,0,5,Apress,24.99,NA,34.99,NA,NA,"Pajankar, A. (2021)"
35,Convolutional Neural Networks with Swift for Tensorflow,Apple and iOS,978-1-4842-6167-5,"XXI, 245",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Koonce, B. (2021)"
35,Pro Spring MVC with WebFlux,Java,978-1-4842-5665-7,"XVII, 575",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Deinum, M., Cosmina, I. (2021)"
35,The TYPO3 Guidebook,Web Development,978-1-4842-6524-6,"XXVI, 359",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Brand, F., McNamee, H., McGuire, J. A. (2021)"
35,Transactions on Engineering Technologies,Industrial and Production Engineering,978-981-15-9208-9,"VIII, 208",2021,0,5,Springer Singapore,169.00,219.99,NA,NA,NA,"Ao, S. (Ed), Kim, H. (Ed), Amouzegar, M. A. (Ed) (2021)"
35,14th International Conference on Theory and Application of Fuzzy Systems and Soft Computing  ICAFS-2020,Computational Intelligence,978-3-030-64057-6,"XXVII, 829",2021,0,5,Springer International Publishing,189.00,NA,249.99,NA,NA,"Aliev, R. A. (Ed), Kacprzyk, J. (Ed), Pedrycz, W. (Ed), Jamshidi, M. (Ed), Babanli, M. (Ed), Sadikoglu, F. M. (Ed) (2021)"
35,Interdisciplinary Evolution of the Machine Brain,Computational Intelligence,978-981-334-243-9,"XII, 145",2021,0,5,Springer Singapore,109.00,149.99,NA,NA,NA,"Wang, W., Cai, H., Deng, X., Lu, C., Zhang, L. (2021)"
35,Index Modulation for OFDM Communications Systems,Electrical Engineering,978-981-15-9406-9,"XIV, 172",2021,0,5,Springer Singapore,109.00,149.99,NA,NA,NA,"Wen, M., Li, Q., Cheng, X. (2021)"
35,Archiving Strategies for Evolutionary Multi-objective Optimization Algorithms,Computational Intelligence,978-3-030-63772-9,"XIII, 234",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"Schtze, O., Hernndez, C. (2021)"
35,Identification of Pathogenic Social Media Accounts,Artificial Intelligence,978-3-030-61430-0,"IX, 95",2021,0,5,Springer International Publishing,44.99,NA,59.99,NA,NA,"Alvari, H., Shaabani, E., Shakarian, P. (2021)"
35,"Fog/Edge Computing For Security, Privacy, and Applications",Mobile and Network Security,978-3-030-57327-0,"X, 418",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"Chang, W. (Ed), Wu, J. (Ed) (2021)"
35,Quantum Cryptography,Quantum Physics,978-3-030-64359-1,"XVII, 152",2021,0,5,Springer International Publishing,109.00,139.99,NA,NA,NA,"Grasselli, F. (2021)"
36,Handbook of Image Engineering,"Computer Imaging, Vision, Pattern Recognition and Graphics",978-981-15-5872-6,"XXXII, 1967",2021,0,5,Springer Singapore,229.00,299.99,NA,NA,NA,"Zhang, Y. (2021)"
36,Data Analytics and Management,Computational Intelligence,978-981-15-8334-6,"XXIV, 937",2021,0,5,Springer Singapore,219.00,NA,279.99,NA,NA,"Khanna, A. (Ed), Gupta, D. (Ed), Plkowski, Z. (Ed), Bhattacharyya, S. (Ed), Castillo, O. (Ed) (2021)"
36,IoT in Healthcare and Ambient Assisted Living,"Cyber-physical systems, IoT",978-981-15-9896-8,"XIII, 371",2021,0,5,Springer Singapore,149.00,199.99,NA,NA,NA,"Marques, G. (Ed), Bhoi, A. K. (Ed), Albuquerque, V. H. C. d. (Ed), K.S., H. (Ed) (2021)"
36,Blockchain Enabled Applications,Web Development,978-1-4842-6533-8,"XVIII, 380",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Dhillon, V., Metcalf, D., Hooper, M. (2021)"
36,Automating Cities,Computational Intelligence,978-981-15-8669-9,"VI, 342",2021,0,5,Springer Singapore,129.00,169.99,NA,NA,NA,"Wang, B. T. (Ed), Wang, C. M. (Ed) (2021)"
36,Reinforcement Learning Algorithms: Analysis and Applications,Computational Intelligence,978-3-030-41187-9,"VIII, 206",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"Belousov, B. (Ed), Abdulsamad, H. (Ed), Klink, P. (Ed), Parisi, S. (Ed), Peters, J. (Ed) (2021)"
36,Introducing Microsoft Access Using Macro Programming Techniques,Microsoft and .NET,978-1-4842-6554-3,"XX, 597",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Morgado, F. (2021)"
36,Deep Reinforcement Learning in Unity,Game Development,978-1-4842-6502-4,"XVIII, 564",2021,0,5,Apress,44.99,NA,59.99,NA,NA,"Majumder, A. (2021)"
36,Beginning T-SQL,Microsoft and .NET,978-1-4842-6605-2,"XXIX, 706",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Kellenberger, K., Everest, L. (2021)"
36,Spring Cloud Data Flow,Java,978-1-4842-1240-0,"XV, 402",2021,0,5,Apress,39.99,NA,54.99,NA,NA,"Gutierrez, F. (2021)"
36,Artificial Intelligence for Customer Relationship Management,User Interfaces and Human Computer Interaction,978-3-030-61640-3,"XIX, 463",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"Galitsky, B. (2021)"
36,Probabilistic Graphical Models,Probability and Statistics in Computer Science,978-3-030-61942-8,"XXVIII, 355",2021,0,5,Springer International Publishing,59.99,79.99,NA,NA,NA,"Sucar, L. E. (2021)"
36,Activity and Behavior Computing,Computational Intelligence,978-981-15-8943-0,"XVIII, 306",2021,0,5,Springer Singapore,139.00,179.99,NA,NA,NA,"Ahad, M. A. R. (Ed), Inoue, S. (Ed), Roggen, D. (Ed), Fujinami, K. (Ed) (2021)"
36,Advances in Intelligent Systems and Computing V,Computational Intelligence,978-3-030-63269-4,"XIV, 1186",2021,0,5,Springer International Publishing,139.00,NA,179.99,NA,NA,"Shakhovska, N. (Ed), Medykovskyy, M. O. (Ed) (2021)"
36,A Python Data Analysts Toolkit,Python,978-1-4842-6398-3,"XX, 399",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Rajagopalan, G. (2021)"
36,An Invitation to Analytic Combinatorics,Discrete Mathematics,978-3-030-67079-5,"XVIII, 418",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"Melczer, S. (2021)"
36,Dynamic Analysis in Complex Economic Environments,Economic Theory/Quantitative Economics/Mathematical Methods,978-3-030-52969-7,"VIII, 239",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"Dawid, H. (Ed), Arifovic, J. (Ed) (2021)"
36,Computer Vision for X-Ray Testing,Image Processing and Computer Vision,978-3-030-56768-2,"XXVI, 456",2021,0,5,Springer International Publishing,64.99,84.99,NA,NA,NA,"Mery, D., Pieringer, C. (2021)"
36,Radical Solutions for Education in a Crisis Context,Education (general),978-981-15-7868-7,"XIV, 323",2021,0,5,Springer Singapore,109.00,149.99,NA,NA,NA,"Burgos, D. (Ed), Tlili, A. (Ed), Tabacco, A. (Ed) (2021)"
36,Fundamentals of Quantum Programming in IBM's Quantum Computers,Data Engineering,978-3-030-63582-4,"XIV, 340",2021,0,5,Springer International Publishing,84.99,109.99,NA,NA,NA,"Chang, W., Vasilakos, A. V. (2021)"
37,Modern Cryptography,"Communications Engineering, Networks",978-3-030-63114-7,"XIX, 390",2021,0,5,Springer International Publishing,44.99,59.99,NA,NA,NA,"Easttom, W. (2021)"
37,Building Solutions with Microsoft Teams,Microsoft and .NET,978-1-4842-6475-1,"XXI, 393",2021,0,5,Apress,39.99,NA,49.99,NA,NA,"NS, J. (2021)"
37,Ontologies with Python,Web Development,978-1-4842-6551-2,"XVII, 344",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Jean-Baptiste, L. (2021)"
37,Electronics Projects with the ESP8266 and ESP32,Hardware and Maker,978-1-4842-6335-8,"XVII, 697",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Cameron, N. (2021)"
37,Applied Data Science Using PySpark,Professional Computing,978-1-4842-6499-7,"XXVI, 410",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Kakarla, R., Krishnan, S., Alla, S. (2021)"
37,The Geometry of Uncertainty,Artificial Intelligence,978-3-030-63152-9,"XXV, 850",2021,0,5,Springer International Publishing,189.00,249.99,NA,NA,NA,"Cuzzolin, F. (2021)"
37,UI Design for iOS App Development,Apple and iOS,978-1-4842-6448-5,"XIII, 322",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Cahill, B. (2021)"
37,Emerging Trends in Intelligent and Interactive Systems and Applications,Computational Intelligence,978-3-030-63783-5,"XIX, 1001",2021,0,5,Springer International Publishing,189.00,NA,249.99,NA,NA,"Tavana, M. (Ed), Nedjah, N. (Ed), Alhajj, R. (Ed) (2021)"
37,"Signal and Information Processing, Networking and Computers","Signal, Image and Speech Processing",978-981-334-101-2,"XX, 1090",2021,0,5,Springer Singapore,269.00,349.99,NA,NA,NA,"Wang, Y. (Ed), Xu, L. (Ed), Yan, Y. (Ed), Zou, J. (Ed) (2021)"
37,Cyber Security on Azure,Microsoft and .NET,978-1-4842-6530-7,"XV, 278",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Copeland, M., Jacobs, M. (2021)"
37,ML.NET Revealed,Microsoft and .NET,978-1-4842-6542-0,"XVIII, 174",2021,0,5,Apress,39.99,NA,49.99,NA,NA,"Mukherjee, S. (2021)"
37,Blockchain,Security Services,978-3-030-61558-1,"VIII, 126",2021,0,5,Springer International Publishing,19.99,NA,27.99,NA,NA,"Gayvoronskaya, T., Meinel, C. (2021)"
37,Advances and New Trends in Environmental Informatics,Information Systems and Communication Service,978-3-030-61968-8,"IX, 270",2021,0,5,Springer International Publishing,84.99,109.99,NA,NA,NA,"Kamilaris, A. (Ed), Wohlgemuth, V. (Ed), Karatzas, K. (Ed), Athanasiadis, I. N. (Ed) (2021)"
37,Proceedings of International Conference on Trends in Computational and Cognitive Engineering,Computational Intelligence,978-981-334-672-7,"XX, 723",2021,0,5,Springer Singapore,219.00,NA,279.99,NA,NA,"Kaiser, M. S. (Ed), Bandyopadhyay, A. (Ed), Mahmud, M. (Ed), Ray, K. (Ed) (2021)"
37,Exploring Windows Presentation Foundation,Microsoft and .NET,978-1-4842-6636-6,"XI, 225",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Litvinavicius, T. (2021)"
37,Deep Learning on Windows,Microsoft and .NET,978-1-4842-6430-0,"XVIII, 338",2021,0,5,Apress,39.99,NA,49.99,NA,NA,"Amaratunga, T. (2021)"
37,Immersive 3D Design Visualization,Game Development,978-1-4842-6596-3,"XIII, 301",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Kumar, A. (2021)"
37,Dual Mode Logic,Circuits and Systems,978-3-030-40785-8,"XIV, 185",2021,0,5,Springer International Publishing,79.99,99.99,NA,NA,NA,"Levi, I., Fish, A. (2021)"
37,Cloud-Based Microservices,Professional Computing,978-1-4842-6563-5,"XVIII, 226",2021,0,5,Apress,29.99,NA,37.99,NA,NA,"Rajasekharaiah, C. (2021)"
37,Machine Learning and AI for Healthcare,Machine Learning,978-1-4842-6536-9,"XXX, 407",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Panesar, A. (2021)"
38,Deploy Machine Learning Models to Production,Machine Learning,978-1-4842-6545-1,"XIII, 150",2021,0,5,Apress,24.99,NA,34.99,NA,NA,"Singh, P. (2021)"
38,ICT Systems and Sustainability,Computational Intelligence,978-981-15-8288-2,"XVI, 847",2021,0,5,Springer Singapore,189.00,NA,249.99,NA,NA,"Tuba, M. (Ed), Akashe, S. (Ed), Joshi, A. (Ed) (2021)"
38,Model-Based Engineering of Collaborative Embedded Systems,Software Engineering,978-3-030-62135-3,"XIII, 404",2021,0,5,Springer International Publishing,,59.99,NA,NA,NA,"Bhm, W. (Ed), Broy, M. (Ed), Klein, C. (Ed), Pohl, K. (Ed), Rumpe, B. (Ed), Schrck, S. (Ed) (2021)"
38,Pro SQL Server Relational Database Design and Implementation,Database Management,978-1-4842-6496-6,"XXIX, 1154",2021,0,5,Apress,54.99,NA,69.99,NA,NA,"Davidson, L. (2021)"
38,Transhumanism: The Proper Guide to a Posthuman Condition or a Dangerous Idea?,Artificial Intelligence,978-3-030-56545-9,"X, 244",2021,0,5,Springer International Publishing,129.00,169.99,NA,NA,NA,"Hofkirchner, W. (Ed), Kreowski, H. (Ed) (2021)"
38,Google Data Studio for Beginners,Data Mining and Knowledge Discovery,978-1-4842-5155-3,"VII, 94",2021,0,5,Apress,19.99,NA,27.99,NA,NA,"Kemp, G., White, G. (2021)"
38,Smart Device Recognition,"Cyber-physical systems, IoT",978-981-334-924-7,"XV, 294",2021,0,5,Springer Singapore,139.00,179.99,NA,NA,NA,"Liu, H., Yu, C., Wu, H. (2021)"
38,Intelligence Enabled Research,Computational Intelligence,978-981-15-9289-8,"XVII, 123",2021,0,5,Springer Singapore,109.00,NA,139.99,NA,NA,"Bhattacharyya, S. (Ed), Dutta, P. (Ed), Datta, K. (Ed) (2021)"
38,Pro Ember Data,Web Development,978-1-4842-6560-4,"XX, 186",2021,0,5,Apress,24.99,NA,32.99,NA,NA,"Tang, D. (2021)"
38,"Workgroups eAssessment: Planning, Implementing and Analysing Frameworks",Computational Intelligence,978-981-15-9907-1,"XII, 258",2021,0,5,Springer Singapore,139.00,179.99,NA,NA,NA,"Babo, R. (Ed), Dey, N. (Ed), Ashour, A. S. (Ed) (2021)"
38,Distributed Computing and Internet Technology,Computer Communication Networks,978-3-030-65620-1,"XIII, 309",2021,0,5,Springer International Publishing,54.99,NA,69.99,NA,NA,"Goswami, D. (Ed), Hoang, T. A. (Ed) (2021)"
38,Implementing AI Systems,Artificial Intelligence,978-1-4842-6384-6,"XI, 196",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Taulli, T. (2021)"
38,IT Crisisology: Smart Crisis Management in Software Engineering,Computational Intelligence,978-981-334-434-1,"XX, 181",2021,0,5,Springer Singapore,109.00,149.99,NA,NA,NA,"Zykov, S. V. (2021)"
38,Proceedings of International Conference on Smart Computing and Cyber Security,Computational Intelligence,978-981-15-7989-9,"XVI, 376",2021,0,5,Springer Singapore,219.00,279.99,NA,NA,NA,"Pattnaik, P. K. (Ed), Sain, M. (Ed), Al-Absi, A. A. (Ed), Kumar, P. (Ed) (2021)"
38,C++20 for Lazy Programmers,Professional Computing,978-1-4842-6305-1,"XXVII, 677",2021,0,5,Apress,39.99,NA,54.99,NA,NA,"Briggs, W. (2021)"
38,"COVID-19: Prediction, Decision-Making, and its Impacts",Computational Intelligence,978-981-15-9681-0,"XII, 137",2021,0,5,Springer Singapore,89.00,NA,119.99,NA,NA,"Santosh, K. (Ed), Joshi, A. (Ed) (2021)"
38,A Machine Learning Based Model of Boko Haram,Machine Learning,978-3-030-60613-8,"XII, 135",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"Subrahmanian, V. S., Pulice, C., Brown, J. F., Bonen-Clark, J. (2021)"
38,Core Blender Development,Computer Graphics,978-1-4842-6414-0,"VII, 244",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Hollister, B. E. (2021)"
38,Authentication and Access Control,Systems and Data Security,978-1-4842-6569-7,"XVII, 230",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Boonkrong, S. (2021)"
38,Full-Stack Web Development with Jakarta EE and Vue.js,Web Development,978-1-4842-6341-9,"XXIII, 591",2021,0,5,Apress,39.99,NA,49.99,NA,NA,"Lopez, D. A. P. (2021)"
39,IoT Projects with NVIDIA Jetson Nano,Hardware and Maker,978-1-4842-6451-5,"IX, 123",2021,0,5,Apress,24.99,NA,34.99,NA,NA,"Kurniawan, A. (2021)"
39,Digital Forensic Investigation of Internet of Things (IoT) Devices,Systems and Data Security,978-3-030-60424-0,"VIII, 285",2021,0,5,Springer International Publishing,129.00,169.99,NA,NA,NA,"Montasari, R. (Ed), Jahankhani, H. (Ed), Hill, R. (Ed), Parkinson, S. (Ed) (2021)"
39,PHP 8 Quick Scripting Reference,Professional Computing,978-1-4842-6618-2,"XVIII, 185",2021,0,5,Apress,24.99,NA,34.99,NA,NA,"Olsson, M. (2021)"
39,Beginning Ruby 3,Professional Computing,978-1-4842-6323-5,"XXX, 585",2021,0,5,Apress,39.99,NA,49.99,NA,NA,"DiLeo, C., Cooper, P. (2021)"
39,Modern PyQt,Professional Computing,978-1-4842-6602-1,"XX, 310",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Willman, J. (2021)"
39,Applications of Blockchain in Healthcare,Computational Intelligence,978-981-15-9546-2,"XII, 267",2021,0,5,Springer Singapore,139.00,179.99,NA,NA,NA,"Namasudra, S. (Ed), Deka, G. C. (Ed) (2021)"
39,Brain-Inspired Cognitive Architectures for Artificial Intelligence: BICA*AI 2020,Computational Intelligence,978-3-030-65595-2,"XIX, 613",2021,0,5,Springer International Publishing,189.00,NA,249.99,NA,NA,"Samsonovich, A. V. (Ed), Gudwin, R. R. (Ed), Simes, A. d. S. (Ed) (2021)"
39,Beginning MLOps with MLFlow,Machine Learning,978-1-4842-6548-2,"XIV, 330",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Alla, S., Adari, S. K. (2021)"
39,Sustainability in Energy and Buildings 2020,Computational Intelligence,978-981-15-8782-5,"XVIII, 587",2021,0,5,Springer Singapore,269.00,349.99,NA,NA,NA,"Littlewood, J. (Ed), Howlett, R. J. (Ed), Jain, L. C. (Ed) (2021)"
39,Advanced Excel Success,Microsoft and .NET,978-1-4842-6466-9,"XVIII, 349",2021,0,5,Apress,39.99,NA,49.99,NA,NA,"Murray, A. (2021)"
39,Dynamics 365 Field Service,Microsoft and .NET,978-1-4842-6407-2,"XV, 314",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Yapa, S., Abayarathne, I. (2021)"
39,Pro Google Cloud Automation,Computer Applications,978-1-4842-6572-7,"XII, 309",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Sabharwal, N., Pandey, P. (2021)"
